date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:09	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2031%20Aug%202025%2010:15:10%20GMT	http://poppywellby.com/robots.txt		(from )
11:15:09	20895/20895	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Aug%202025%2010:15:10%20GMT	http://poppywellby.com/	D:/dev/websites/poppywellby.com/poppywellby.com/index.html	(from )
11:15:10	5842/5842	---MC-	200	added ('OK')	text/html	date:Sun,%2031%20Aug%202025%2010:15:11%20GMT	http://gmpg.org/xfn/11	D:/dev/websites/poppywellby.com/gmpg.org/xfn/11.html	(from http://poppywellby.com/)
11:15:10	25245/25245	---M-Z	200	added ('OK')	text/css	etag:%22629d-5bfff01bed856-gzip%22	http://poppywellby.com/wp-includes/css/dist/block-library/style.min.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-includes/css/dist/block-library/style.minffe1.css	(from http://poppywellby.com/)
11:15:10	204/204	---MCZ	200	added ('OK')	text/html	etag:W/%22a8b95d1a3b890c150f269dca0f557c0d%22	http://maxcdn.bootstrapcdn.com/	D:/dev/websites/poppywellby.com/maxcdn.bootstrapcdn.com/index.html	(from http://poppywellby.com/)
11:15:10	46930/46930	---M-Z	200	added ('OK')	text/css	etag:%22b752-5868e4509ff82-gzip%22	http://poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.min.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/all.minffe1.css	(from http://poppywellby.com/)
11:15:11	26688/26688	---M-Z	200	added ('OK')	text/css	etag:%226840-5868e4509ff82-gzip%22	http://poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/v4-shims.min.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/gutenberg-blocks/assets/fontawesome/css/v4-shims.minffe1.css	(from http://poppywellby.com/)
11:15:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2031%20Aug%202025%2010:15:12%20GMT	http://s.w.org/	D:/dev/websites/poppywellby.com/s.w.org/index.html	(from http://poppywellby.com/)
11:15:11	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Aug%202025%2010:15:12%20GMT	http://fonts.googleapis.com/	D:/dev/websites/poppywellby.com/fonts.googleapis.com/index.html	(from http://poppywellby.com/)
11:15:11	1725/1725	---M-Z	200	added ('OK')	application/rss+xml	etag:%223715339cf3e17eece60f9754e3b3b636-gzip%22	http://poppywellby.com/feed/	D:/dev/websites/poppywellby.com/poppywellby.com/feed/index.html	(from http://poppywellby.com/)
11:15:11	29642/29642	---M-Z	200	added ('OK')	text/css	etag:%2273ca-5868e450a4da2-gzip%22	http://poppywellby.com/wp-content/plugins/themeisle-companion/vendor/codeinwp/gutenberg-blocks/build/style.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/plugins/themeisle-companion/vendor/codeinwp/gutenberg-blocks/build/styleffe1.css	(from http://poppywellby.com/)
11:15:12	1100/1100	---M-Z	200	added ('OK')	text/css	etag:%2244c-564dc3142197f-gzip%22	http://poppywellby.com/wp-content/plugins/cactus-companion/assets/css/front.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/plugins/cactus-companion/assets/css/frontffe1.css	(from http://poppywellby.com/)
11:15:12	1658/1658	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ec08fab98906faa761c088f90e609d35-gzip%22	http://poppywellby.com/comments/feed/	D:/dev/websites/poppywellby.com/poppywellby.com/comments/feed/index.html	(from http://poppywellby.com/)
11:15:12	46358/46358	---M-Z	200	added ('OK')	text/css	etag:%22b516-5868e4273768c-gzip%22	http://poppywellby.com/wp-includes/css/dashicons.min.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-includes/css/dashicons.minffe1.css	(from http://poppywellby.com/)
11:15:12	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=2.8.0	D:/dev/websites/poppywellby.com/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.minf71b.css	(from http://poppywellby.com/)
11:15:13	302/302	---M-Z	200	added ('OK')	text/css	etag:%2212e-5868e4509c102-gzip%22	http://poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/menu-icons/css/public.css?ver=2.8.0	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/plugins/themeisle-companion/obfx_modules/menu-icons/css/publicf71b.css	(from http://poppywellby.com/)
11:15:14	416/416	---MC-	200	added ('OK')	text/css	date:Sun,%2031%20Aug%202025%2010:15:15%20GMT	http://fonts.googleapis.com/css?family=Montserrat%3Aregular%2C700%26subset%3Dlatin%2C&ver=5.1.19	D:/dev/websites/poppywellby.com/fonts.googleapis.com/css44d1.css	(from http://poppywellby.com/)
11:15:14	146010/146010	---M-Z	200	added ('OK')	text/css	etag:%2223a5a-564dc1ce08693-gzip%22	http://poppywellby.com/wp-content/themes/cactus/assets/plugins/bootstrap/css/bootstrap.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/themes/cactus/assets/plugins/bootstrap/css/bootstrapffe1.css	(from http://poppywellby.com/)
11:15:14	31001/31001	---M-Z	200	added ('OK')	text/css	etag:%227919-564dc1ce08693-gzip%22	http://poppywellby.com/wp-content/themes/cactus/assets/plugins/font-awesome/css/font-awesome.min.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/themes/cactus/assets/plugins/font-awesome/css/font-awesome.minffe1.css	(from http://poppywellby.com/)
11:15:14	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-564dc1ce076f3-gzip%22	http://poppywellby.com/wp-content/themes/cactus/assets/plugins/owl-carousel/css/owl.carousel.css?ver=5.1.19	D:/dev/websites/poppywellby.com/poppywellby.com/wp-content/themes/cactus/assets/plugins/owl-carousel/css/owl.carouselffe1.css	(from http://poppywellby.com/)
